LUNDI;MARDI ;MERCREDI;JEUDI;VENDREDI;
;;;;;
17-avr;18-avr;19-avr;20-avr;21-avr;
8h00 - 10h00;8h00 - 10h00;8h00 - 10h00;8h00 - 12h15;8h00 - 10h00;
;;;;;
;Examen 1ère session;;T.P.;;
;Mécanique Quantique - Chimie ;;(Voir planning;;
;Théorique Ecrit 1;;spécifique);;
;;;;;
;;;;;
;;;Groupe 1;;
;;;Mathématiques Informatique;;
Travail Libre;;Travail Libre;Gr. TP 1A : 8h00 - 10h00;Travail Libre;
;Salles F001 + F002/003 + F008 +;;Gr. TP 1B : 10h15 - 12h15;;
;F004/005 + F006/007;;E. JEANNEAU / E. ESPINOSA;;
;;;Salle I306;;
;;;;;
;;;;;
;;;Groupe 2;;
;;;Sciences Analytiques;;
;(Voir répartition sur tableau d'affichage;;Bât. D - 2ème étage;;
;3CGP près des amphis);;;;
;;;;;
10h15 - 12h15;10h15 - 12h15;10h15 - 12h15;Groupe 3;10h15 - 12h15;
;;;Génie des Procédés;;
Electrochimie;TD Thermodynamique;TD Chimie Organométallique;Bât. G - RdC;Techniques Chromatographiques;
; (groupes : voir affichage TD GP); (Groupes : voir affichage TD GP);;;
;;;;;
;Grpe 1 : C. NIKITINE ;Grpe 1 : A. RENAUDAT;;;
;Amphi H001;Salle F008;;;
;;;;;
;Grpe 2 : M. DE MONTIGNY   ;Grpe 2 : J. BREUZARD ;;;
R. FERRIGNO;Amphi H002;Salle F006/007;;S. BURTIN;
;;;;;
;Grpe 3 : E. FOURNIER ;Grpe 3 : F. FACHE ;;;
;Amphi H003;Salle F004/005;;;
;;;;;
;Grpe 4 : C. JALLUT  ;Grpe 4 : C. CAMP   ;;;
;Salle F008;Salle F002/003;;;
;;;;;
Grand Amphi;;;;Grand Amphi;
;;;;;
;;;;;
13h30 - 17h45;13h30 - 17h45;13h30 - 15h30;13h30 - 17h45;13h30 - 17h45;
;;;;;
T.P.;;Chimie Organique;Atelier de relecture de CV;T.P.;
(Voir planning;;;;(Voir planning;
spécifique);;;Sur inscription;spécifique);
;;;;;
;PCE;;13h30 - 17h30;;
Groupe 1;;B. ANDRIOLETTI;;Groupe 1;
Sciences Analytiques;;;L. FORGEOT D'ARC;Génie des Procédés;
Bât. D - 2ème étage;(Travail Libre);;;Bât. G - RdC;
;;;Salles F003 + F004;;
;;;;;
Groupe 2;;;;Groupe 2;
Génie des Procédés;;Grand Amphi;;Mathématiques Informatique;
Bât. G - RdC;* * * * * * * * *;;;Gr. TP 2B : 13h30 - 15h30;
;;15h45 - 16h45;;Gr. TP 2A : 15h45 - 17h45;
;;;;E. JEANNEAU / F. BRUNEL;
Groupe 3;;Chimie Organique;;Salle I306;
Mathématiques Informatique;Travail Libre;;;;
Gr. TP 3A : 13h30 - 15h30;;;;;
Gr. TP 3B : 15h45 - 17h45;;;;Groupe 3;
N. CHAUSSARD / ML. ZANOTA;;;;Sciences Analytiques;
Salle I306;;;;Bât. D - 2ème étage;
;;;;;
;;B. ANDRIOLETTI;;;
;;;;;
;;;;;
;* Les horaires de SHES sont ;;;;
;complémentaires à ceux de LV2.;;;;
;Si SHES 13h30-15h30 --> LV2 15h45-17h45;;;;
;Si LV2 13h30-15h30 --> SHES 15h45-17h45;Grand Amphi;;;
;;;;;
