LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI
24-avr;25-avr;26-avr;27-avr;28-avr
8h-12h15;8h-12h15;8h-12h15;8h-10h;8h-12h15
CONCEP.LOGICIELLE/BIG DATA;GROUPE A;GROUPE A & B;;CONCEP.LOGICIELLE/BIG DATA
"TIDAL
Y. JOLY
Salle G102";Projet;Projet;;"Architecture des Systèmes
d'Information
J.SARAYDARYAN
Salles I302"
;F. JOLY;F. JOLY;;
ROBOTIQUE;Salle I207;Salle I105 - Groupe A;"Intelligence Collective
J-J. MONTLAHUC
Grand Amphi";ROBOTIQUE
"TIDAL
Y. JOLY
Salle G103";;Salle I200 - Groupe B;;"Systèmes et Autonomie des Transports
R.LEBER
Salle I102"
ELECTRONIQUE ET SYST EMB;CONCEP.LOGICIELLE/BIG DATA;;;ELECTRONIQUE ET SYST EMB
"Logiciel Embarqué
A.MASSOURI
Salle I203";GROUPE C &D;;;"Electronique analogique intégrée
R.CELLIER
Salle F005"
;Conception Orientée Objet et;;10h15 - 12h15;
;Design Patterns;;"Intelligence Economique
M.BESSON
Grand Amphi";
INFRA DES RESEAUX;B.MASCRET;;;INFRA DES RESEAUX
Pas de cours;Salle G102;;;"Réseaux Wan
R.FANTAUZZI
Salle G108"
IMAGE;;;;IMAGE
"Modelisation
T.DUPONT
Salle G105";;;;"Modelisation
T.DUPONT
Salle I306"
;;;;
13h10-18h;13h30-17h45;13h30-17h45;13h30-17h45;13h30-17h45
;GROUPE C&D;CONCEP.LOGICIELLE/BIG DATA;;MSO1 OUVERTURE
;Projet;Pas de cours;;"AWS Cloud Foundations
T.AUFORT / Y.COSSIN/
T.PONTHIEU
Salle G103"
;F. JOLY;;;
;;ROBOTIQUE;;
;Salle I203 - Groupe C;Systèmes et Autonomie des;;"Information géographique
L. DUPONT
Salle G105"
;Salle I207 - Groupe D;Transports;;
;;R.LEBER;;
;;Salle I102;;
;CONCEP.LOGICIELLE/BIG DATA;ELECTRONIQUE ET SYST EMB;;
;GROUPE A &B;Communications numériques;;"Conception architecture
système
L. GUILLEMAUD
Salle E109"
;Conception Orientée Objet et;;;
;Design Patterns;N.LEBEDEV;;
;B.MASCRET;Salle I302 +I304;;
;;13h30-17h15;;
;Salle G102;INFRA DES RESEAUX;;
;;Communications numériques;;"Information quantique
B. FEDRICI
Salle G108"
;;N.LEBEDEV;;
;;Salle I302 +I304;;
;;13h30-17h15;;
;;IMAGE;;
;;Analyse d'images;;Algorithmique et Informatique
;;;;Théorique
;;P.GONCALVES;;
"LV
(Voir planning)";;13h30 à 15h30 :;;G.MOREL
;;salle E109;;Salle I302
;;Modelisation;;
;;T.DUPONT;;
;;15h45 à 17h45 : Salle E109;;
