LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;;;;
30-janv;31-janv;01-févr;02-févr;03-févr;;;;
8h-12h15;8h-12h15;8h-12h15;8h-12h15;8h-12h15;;;;
;;;CONCEP.LOGICIELLE/BIG DATA;CONCEP.LOGICIELLE/BIG DATA;;;;
Introduction;Introduction;Introduction;Administration Système;;;;;
Administration Système;Administration Système;Administration Système;;;;;;
;;;G.MOREL;pas de cours;;;;
;;;Salles  G102- G103;;;;;
G.MOREL;G.MOREL;G.MOREL;;;;;;
;;;ROBOTIQUE;ROBOTIQUE;;;;
;;;Administration système et gestion de codes;;;;;
;;;;;;;;
;;;F.JUMEL;pas de cours;;;;
;;;Salle G108;;;;;
Grp A  Salle G102 ;Grp A  Salle G102 ;Grp A  Salle G108 ;;;;;;
Grp B  Salle G108 ;Grp B  Salle I300;Grp B  Salle I300;ELECTRONIQUE ET SYST EMB;ELECTRONIQUE ET SYST EMB;;;;
Grp C  Salle I304 ;Grp C  Salle I207 ;Grp C  Salle I207 ;Composants électroniques;;;;;
Grp D  Salle G103;Grp D  Salle G103;Grp D  Salle G103;;;;;;
;;;A. GACI;pas de cours;;;;
;;;Salle E109;;;;;
;;;;;;;;
;;;INFRA DES RESEAUX ;INFRA DES RESEAUX ;;;;
;;;Sécurité systèmes/réseaux;Cloud et Virtualisation;;;;
;;;;;;;;
;;;P. BULLIAN;O.CARRILLO;;;;
;;;Salle I306;Salle I302;;;;
;;;;;;;;
;;;IMAGE ;IMAGE ;;;;
;;;Optimisation;Conditionnement ;;;;
;;;;;;;;
;;;E.VAN REETH /S.MAZAURIC;S.MAZAURIC;;;;
;;;Salle  I304;  8h- 10h Salle E109 ;;;;
;;;;  10h15- 12h15 Salle G108;;;;
;;;;;;;;
13h10-18h;13h30-17h45;13h30-17h45;13h00-14h30;13h30-17h45;;;;
;CONCEP.LOGICIELLE/BIG DATA;CONCEP.LOGICIELLE/BIG DATA;;CONCEP.LOGICIELLE/BIG DATA;;;;
;Bases de Données ;Administration Système;Présentation Césure en Imagerie Médicale ;Bases de Données ;;;;
;;;;;;;;
;J.CHEVALIER/M.LAGARRIGUE;G.MOREL;KITWARE;J.CHEVALIER/M.LAGARRIGUE;;;;
;Salles  G102- G103;Salles  G102- G103;;Salles  G102- G105;;;;
;;;M.JORROT;;;;;
;ROBOTIQUE;ROBOTIQUE;;ROBOTIQUE;;;;
;Administration système et gestion de codes;Administration système et gestion de codes;Salle F002;Administration système et gestion de codes;;;;
LV;;;;;;;;
;F.JUMEL;F.JUMEL;;F.JUMEL;;;;
;Salle G108;Salle G108;;Salle G108;;;;
;;;;;;;;
;ELECTRONIQUE ET SYST EMB;ELECTRONIQUE ET SYST EMB;;ELECTRONIQUE ET SYST EMB;;;;
(Voir planning);;;;Techniques avancées de conception des systèmes numériques;;;;
;;;;;;;;
;Pas de cours;Pas de cours;;;;;;
;;;;A. MASSOURI;;;;
;;;;Salle I203;;;;
;INFRA DES RESEAUX ;INFRA DES RESEAUX ;;INFRA DES RESEAUX ;;;;
;Architecture des réseaux locaux LAN;Sécurité ;;Cloud et Virtualisation;;;;
;;;;;;;;
;N.DANIEL ;M.EL BERMIL;;P.GAXATTE ? ;;;;
;Salle B121;Salle G103;;Salle info ;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;R.FANTAUZZI;P.BULLIAN;;O.CARRILLO;;;;
;Salle I304;Salle I306;;Salle I302;;;;
;;;;;;;;
;IMAGE ;IMAGE ;;IMAGE ;;;;
;Rentrée ;Programmation générique en C++;;;;;;
;13h30 - 14h30;;;;;;;
;Optimisation numérique et problème inverse;T.DUPONT;;Pas de cours;;;;
;;Salle I304;;;;;;
;14h45 - 17h45;;;;;;;
;E.VAN REETH /S.MAZAURIC;;;;;;;
;Salle F002;;;;;;;
